iter	RMSE
112	0.232336841
113	0.2319139454
114	0.2314863747
115	0.2310676062
116	0.2307266593
117	0.2302181444
118	0.2298998775
119	0.2295748775
120	0.2292161669
121	0.2289412132
122	0.2286299512
123	0.2283495088
124	0.2279084211
125	0.2275294267
126	0.2271235428
127	0.2267158465
128	0.2264225694
129	0.2261426991
130	0.2258359404
131	0.2255593084
132	0.2252011217
133	0.2249198569
134	0.2246904713
135	0.2243932969
136	0.2241276549
137	0.2236635584
138	0.2234021652
139	0.2232259681
140	0.2229923908
141	0.2227134737
142	0.2224183045
143	0.2220099209
144	0.2217528882
145	0.2214944605
146	0.2210901688
147	0.2207055652
148	0.2205343369
149	0.2201819066
150	0.2199012846
151	0.2196806324
152	0.2193334008
153	0.2190379016
154	0.218793506
155	0.2184588584
156	0.2182997484
157	0.2180383909
158	0.2178226206
159	0.2175568511
160	0.2172485068
161	0.2169815573
162	0.2166964728
163	0.2163790641
164	0.2161972415
165	0.2159133703
166	0.2157276074
167	0.2155411238
168	0.215388336
169	0.2151204797
170	0.2149508437
171	0.214650212
172	0.2144608684
173	0.2143007701
174	0.2141545823
175	0.2139673174
176	0.2137852015
177	0.2135912713
178	0.213456175
179	0.213236313
180	0.2129135799
181	0.2125928772
182	0.2124219294
183	0.2120707326
184	0.211893422
185	0.2116818857
186	0.2114498624
187	0.2112617864
188	0.2111130708
189	0.2109190519
190	0.2107078789
191	0.2105259023
192	0.2103166881
193	0.2101864297
194	0.2099171567
195	0.2097780711
196	0.2095195563
197	0.2093527923
198	0.2090947908
199	0.2088620214
200	0.2087038103
201	0.2085329483
202	0.2084445091
203	0.2083089244
204	0.208140209
205	0.2079871031
206	0.2078109042
207	0.2076108529
208	0.2073114827
209	0.207091152
210	0.2070260415
211	0.206814541
212	0.2066237486
213	0.2064660972
214	0.2062184739
215	0.2061081575
216	0.2057613238
217	0.205625653
218	0.2054167792
219	0.2052067319
220	0.2050685474
221	0.2049648204
222	0.2047879708
223	0.2046613943
224	0.2044032316
225	0.2042547257
226	0.2040940848
227	0.2039026077
228	0.203684224
229	0.2035494456
230	0.2034138018
231	0.2031017239
232	0.2029479657
233	0.2027915992
234	0.2026736511
235	0.2025380563
236	0.2023717707
237	0.2022235478
238	0.2021206647
239	0.2019778097
240	0.2018603571
241	0.2016974383
242	0.2015207653
243	0.2013725908
244	0.2012800652
245	0.2012008785
246	0.201084672
247	0.2009720816
248	0.2008025836
249	0.2006952181
250	0.2005811138
251	0.2004174827
252	0.2002348526
253	0.2001197449
254	0.199943565
255	0.1998498825
256	0.19967041
257	0.1995823312
258	0.1994160791
259	0.1992894886
260	0.1991357674
261	0.1990061052
262	0.198848857
263	0.1985947996
264	0.1984916885
265	0.1983326269
266	0.1980608386
267	0.1978671679
268	0.1976917449
269	0.1975316441
270	0.1973935207
271	0.197111372
272	0.1969827521
273	0.1967741661
274	0.1966655625
275	0.1965011732
276	0.196370889
277	0.1962551747
278	0.19608198
279	0.1959900364
280	0.1958593891
281	0.1957495037
282	0.1954443013
283	0.1953407906
284	0.1950701583
285	0.194977467
286	0.1948264495
287	0.1946940545
288	0.1945128443
289	0.1943565897
290	0.1942391155
291	0.1940614482
292	0.1939235485
293	0.1938365239
294	0.1937071269
295	0.1935699387
296	0.1934263827
297	0.1933049762
298	0.1930994734
299	0.1929862673
300	0.1927610555
301	0.1926419207
302	0.192504695
303	0.1923503082
304	0.1921669558
305	0.1920346934
306	0.1918961903
307	0.1917987426
308	0.1916235759
309	0.1914736706
310	0.1913195991
311	0.1911924684
312	0.1910240613
313	0.1908959575
314	0.1907776552
315	0.1905873922
316	0.19042855
317	0.1902958357
318	0.1901999473
319	0.1901084628
320	0.1899487449
321	0.1897843706
322	0.1896132758
323	0.1894821274
324	0.1893272785
325	0.1892158758
326	0.1891090901
327	0.1888924911
328	0.1887705125
329	0.1885934452
330	0.1884615807
331	0.1882860628
332	0.1881559582
333	0.1880092829
334	0.1876900397
335	0.1875716158
336	0.1874170625
337	0.1873110838
338	0.1871829181
339	0.1870549078
340	0.1869166221
341	0.1868273955
342	0.1866852846
343	0.1865543732
344	0.1864037222
345	0.1862539414
346	0.1861353952
347	0.1859881698
348	0.1858571184
349	0.1857635072
350	0.1856698438
351	0.1855530595
352	0.1854281546
353	0.1853314914
354	0.185152791
355	0.1849685406
356	0.1848561115
357	0.1847041457
358	0.1844788553
359	0.1843389356
360	0.1842024287
361	0.1840399931
362	0.1838682679
363	0.1837103317
364	0.1835907546
365	0.1834505213
366	0.1832891504
367	0.1831256678
368	0.1829781613
369	0.1828305053
370	0.1826762112
371	0.1825612241
372	0.1823872056
373	0.1822196114
374	0.1820233433
375	0.1818875525
376	0.1817724755
377	0.1815657483
378	0.1814086719
379	0.1812263279
380	0.1810699312
381	0.180959149
382	0.1807311899
383	0.180485825
384	0.1803461917
385	0.1802104819
386	0.1800773406
387	0.179967872
388	0.1797762706
389	0.1796179709
390	0.1794913045
391	0.1793368385
392	0.1792007878
393	0.1790506485
394	0.1788660783
395	0.1787627701
396	0.1786197811
397	0.1784946364
398	0.1784155581
399	0.1783075973
400	0.1781788439
401	0.1780641915
402	0.1779136459
403	0.1777664681
404	0.1776458486
405	0.17747815
406	0.1773234355
407	0.177199583
408	0.1770649696
409	0.1769482161
410	0.1768138831
411	0.1766793661
412	0.1766042797
413	0.1764868197
414	0.1763181447
415	0.176083278
416	0.1759461304
417	0.1758356677
418	0.1757006783
419	0.1756199739
420	0.1754660926
421	0.1753835954
422	0.1752502543
423	0.175155966
424	0.1749911466
425	0.1748393858
426	0.1746590834
427	0.1745228383
428	0.1743576238
429	0.1742770865
430	0.1741786939
431	0.1740410594
432	0.1739320087
433	0.1738031683
434	0.1736653838
435	0.173539668
436	0.1734433589
437	0.1732704692
438	0.1731705312
439	0.1730234969
440	0.1728652517
441	0.1727588525
442	0.1725825735
443	0.1724742088
444	0.1723606146
445	0.1722800263
446	0.1721443291
447	0.1720069677
448	0.1719177065
449	0.1717824692
450	0.1717196588
451	0.1716036496
452	0.1714690682
453	0.171358419
454	0.1712290922
455	0.1710850968
456	0.1709583007
457	0.1708445187
458	0.1706884357
459	0.1705778431
460	0.1704612876
461	0.1703708226
462	0.170285791
463	0.170191367
464	0.1700970204
465	0.1699987345
466	0.169871098
467	0.1697718351
468	0.1696492872
469	0.1695118449
470	0.1693853124
471	0.1692593223
472	0.16915278
473	0.1690117883
474	0.1688796879
475	0.1687452344
476	0.1686263729
477	0.1684838766
478	0.1683574131
479	0.1682554072
480	0.1681188481
481	0.1679797648
482	0.1679007307
483	0.1678289077
484	0.1677221839
485	0.1676204675
486	0.1674739253
487	0.1673502575
488	0.1672141092
489	0.1671022267
490	0.1669649126
491	0.1668060506
492	0.1667502493
493	0.1666698856
494	0.1665612729
495	0.1664554215
496	0.1662829522
497	0.1661684231
498	0.1660750005
499	0.1659652313
