iter	RMSE
0	0.5766713026
1	0.5652975716
2	0.5545963421
3	0.5442429959
4	0.5335889676
5	0.5231921554
6	0.5135219786
7	0.5042989417
8	0.4951657676
9	0.4862688576
10	0.477410508
11	0.4693500329
12	0.4614313762
13	0.4542267741
14	0.4471477541
15	0.439780454
16	0.4331768027
17	0.4262525321
18	0.4198115739
19	0.4134456062
20	0.4072604752
21	0.4011432593
22	0.395232237
23	0.389910879
24	0.3844920117
25	0.379253343
26	0.3741566754
27	0.369633828
28	0.3647244794
29	0.360008877
30	0.355581281
31	0.3513027383
32	0.3468311484
33	0.3428163799
34	0.3389847324
35	0.3351781186
36	0.3318550538
37	0.3281669838
38	0.3249095599
39	0.3219777158
40	0.3187708651
41	0.3160907352
42	0.3130522845
43	0.3105996872
44	0.3080124563
45	0.3056507675
46	0.303292615
47	0.3009672455
48	0.29895881
49	0.2967688956
50	0.2942670275
51	0.291736738
52	0.2898446246
53	0.2879644392
54	0.2858504363
55	0.2839539289
56	0.2822642262
57	0.2807223449
58	0.278824097
59	0.2771108869
60	0.2753940109
61	0.2737524574
62	0.2721555591
63	0.2706476924
64	0.2692575289
65	0.2679823009
66	0.2664258796
67	0.2650818675
68	0.2638004008
69	0.2627162112
70	0.2615796844
71	0.2605357628
72	0.2593887786
73	0.258255168
74	0.2570122811
75	0.2559631692
76	0.2549720513
77	0.2541752513
78	0.2531810701
79	0.2524121868
80	0.2514548482
81	0.2506034384
82	0.2499371705
83	0.2490988028
84	0.2482746328
85	0.2474564332
86	0.2468049697
87	0.2460930728
88	0.2453817007
89	0.2447376689
90	0.2440050691
91	0.2433039681
92	0.2425786394
93	0.2419089709
94	0.2414014968
95	0.2409079632
96	0.2403280155
97	0.2397532232
98	0.2392283129
99	0.2386287192
100	0.2380221063
101	0.2374790804
102	0.2370844484
103	0.2365427311
104	0.2360776426
105	0.2355786181
106	0.2349285748
107	0.2345735454
108	0.2342016932
109	0.2337953123
110	0.2332863171
111	0.2328216246
